HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
INST.GORGS,11.543,6.4,5.35,5.05,7.0,4.9,4.9,5.45,6.35,6.2,5.15,5.675,1.05,8.5,1.5,10.0,5.525,5.7,6.6,5.025,6.208,72.75,60.0,0.851,5.293,1.0,71.0
"PEREZ IBORRA, ESCOLES",12.706,7.4,6.567,5.9,6.9,7.833,6.767,7.033,6.9,6.433,7.4,6.913,1.143,10.0,0.0,10.0,6.942,6.4,6.667,7.617,6.937,60.0,60.0,1.0,6.937,1.0,16.667
INST.LA POBLA DE SEGUR,12.042,7.7,7.6,6.5,7.0,5.7,5.3,6.8,8.0,8.5,8.0,7.11,1.05,10.0,0.0,10.0,6.85,7.25,7.75,6.85,7.097,60.0,60.0,1.0,7.097,1.0,12.0
MADRES CONCEP.DE LA ENSEñANZA,11.157,4.55,4.975,5.275,6.05,4.6,4.9,5.167,4.667,6.767,4.35,4.873,1.52,5.75,3.25,9.0,4.619,4.775,6.288,4.475,5.51,76.875,51.0,0.673,4.008,1.0,110.0
INST.LLUIS DOMENECH I M -CANET,11.506,8.0,8.5,7.2,8.2,8.5,7.0,8.6,8.4,8.9,9.6,8.29,0.76,10.0,0.0,10.0,8.025,7.8,8.55,9.05,8.308,60.0,60.0,1.0,8.308,1.0,1.0
INST.TERRA ALTA,11.061,6.35,6.15,5.1,6.4,4.85,5.65,3.4,4.6,6.7,4.75,5.395,1.345,7.5,2.5,10.0,5.388,4.85,6.55,4.8,6.149,75.75,60.0,0.828,5.23,1.0,84.0
INST.VALL D'HEBRON,11.224,7.8,7.5,7.3,7.0,8.4,5.7,8.1,7.9,7.2,5.1,7.2,1.05,10.0,0.0,10.0,7.275,7.6,7.1,6.75,7.148,60.0,60.0,1.0,7.148,1.0,10.0
INST.BISBE SIVILLA,11.003,6.567,5.3,5.267,4.1,2.8,6.8,5.65,2.55,3.6,6.633,4.933,2.293,6.667,2.333,9.0,6.053,4.317,3.25,4.717,5.708,68.0,52.5,0.785,4.588,1.0,92.333
INST.LLUíS DOMENECH I MONTANER,11.598,7.033,7.067,6.8,7.4,7.167,6.3,5.967,5.933,7.1,6.967,6.773,1.097,10.0,0.0,10.0,6.592,6.367,7.25,7.067,6.77,60.0,60.0,1.0,6.77,1.0,18.0
LA SALLE MONTCADA,10.131,7.2,3.8,3.8,6.0,5.0,4.55,2.85,1.1,5.65,5.6,4.555,2.125,5.0,5.0,10.0,4.6,2.45,5.825,5.3,5.922,90.75,51.0,0.572,3.428,1.0,134.0
ESCOLA AUGUSTA,10.846,5.6,5.1,5.7,6.3,2.5,5.8,4.8,5.1,5.6,2.4,4.89,1.35,7.0,3.0,10.0,5.325,5.4,5.95,2.45,5.647,79.5,60.0,0.755,4.262,1.0,120.0
MARE DE DÉU DELS ÀNGELS,10.612,5.75,6.65,5.25,6.65,4.95,4.35,5.7,7.1,5.7,5.15,5.725,1.185,8.0,2.0,10.0,5.613,6.175,6.175,5.05,5.922,75.0,60.0,0.834,4.914,1.0,89.5
"HAMELIN, INTERNACIONAL LAIE",10.427,5.233,3.5,3.733,3.967,3.633,5.5,5.05,3.9,3.567,5.633,4.363,1.593,4.667,4.667,9.333,4.781,3.533,3.767,4.633,5.069,78.0,48.5,0.62,3.207,1.0,133.333
MARE DÉU DEL CARME-TARRAGONA,11.552,6.4,4.833,4.733,7.1,4.833,4.933,3.467,4.667,4.633,6.167,5.177,1.373,7.0,3.0,10.0,4.908,4.7,5.867,5.5,5.625,68.0,50.5,0.752,4.362,1.0,97.333
INST.LA FERRERIA,11.274,0.0,1.4,1.5,0.0,2.7,,,,,,1.12,1.14,0.0,5.0,5.0,0.7,1.5,0.0,2.7,0.56,30.0,0.0,0.0,0.0,1.0,171.0
INST.SERRALLARGA,10.769,5.85,5.6,4.9,4.15,7.85,5.5,5.45,2.45,5.25,5.4,5.24,1.535,7.5,2.5,10.0,5.6,3.675,4.7,6.625,5.716,71.25,54.0,0.764,4.357,1.0,96.0
INST.BADALONA VII,9.169,4.5,3.65,5.85,5.4,8.4,5.9,5.3,3.45,6.0,9.0,5.745,1.98,7.5,2.5,10.0,4.838,4.65,5.7,8.7,6.715,81.0,60.0,0.794,5.336,1.0,78.0
INST.RONDA,11.44,6.475,7.35,5.5,5.875,7.1,5.775,6.05,4.325,6.15,6.35,6.095,1.47,7.75,2.25,10.0,6.412,4.912,6.013,6.725,6.758,73.875,60.0,0.846,5.808,1.0,55.75
ESCOLÀPIES LLURIA-BARCELONA,11.019,5.0,5.433,4.967,2.667,5.767,5.133,5.7,5.3,5.733,5.133,5.083,1.427,5.667,4.333,10.0,5.317,5.133,4.2,5.45,6.169,95.5,60.0,0.679,4.324,1.0,111.667
"MIRASAN, COL.LEGI",9.732,2.9,5.6,4.5,3.7,0.4,1.6,4.5,5.0,4.7,5.0,3.79,1.67,3.0,7.0,10.0,3.65,4.75,4.2,2.7,5.168,106.5,42.0,0.394,2.038,1.0,158.0
SAGRAT COR - EL VENDRELL,12.381,5.95,5.25,5.4,4.75,5.25,9.3,9.2,9.1,10.0,9.3,5.625,0.915,5.0,2.5,7.5,5.938,5.65,5.35,5.25,4.996,45.0,30.0,0.5,4.376,1.0,100.0
INST.MARTÍ L'HUMÀ,11.315,6.8,6.15,6.4,6.45,6.05,5.3,4.7,4.45,4.85,6.3,5.745,2.07,7.5,2.5,10.0,5.738,5.425,5.65,6.175,6.706,74.25,60.0,0.818,5.493,1.0,68.5
INST.SERRA DE MARINA,10.93,8.0,7.0,6.8,7.4,7.8,6.4,7.2,9.1,7.6,8.1,7.54,0.77,10.0,0.0,10.0,7.15,7.95,7.5,7.95,7.552,60.0,60.0,1.0,7.552,1.0,7.0
MONTCLAR,11.537,4.467,4.133,3.433,4.6,4.867,6.133,4.633,5.333,6.5,3.967,4.807,1.47,6.0,4.0,10.0,4.842,4.383,5.55,4.417,6.094,89.5,60.0,0.702,4.284,1.0,125.0
INST.SALVADOR VILASECA,11.012,5.8,5.0,5.8,5.0,5.0,5.8,5.7,6.0,5.6,7.9,5.76,0.84,10.0,0.0,10.0,5.575,5.9,5.3,6.45,5.818,60.0,60.0,1.0,5.818,1.0,66.0
VEDRUNA-BALAGUER,12.18,5.5,6.1,5.4,6.4,3.2,6.2,6.0,6.2,6.3,7.8,5.91,1.15,9.0,1.0,10.0,5.95,5.8,6.35,5.5,6.128,66.0,60.0,0.909,5.57,1.0,76.0
INST.VILA DE GRÀCIA,11.07,4.2,5.5,5.1,7.4,5.0,5.8,4.5,3.6,5.2,5.0,5.13,1.02,7.0,3.0,10.0,5.0,4.35,6.3,5.0,5.665,78.0,60.0,0.769,4.358,1.0,114.0
INST.ARGENTONA,10.582,6.6,7.0,4.7,6.75,8.3,4.65,4.25,5.4,4.1,7.75,5.95,1.68,8.0,2.0,10.0,5.625,5.05,5.425,8.025,6.522,71.25,60.0,0.863,5.638,1.0,59.0
INST.ARRAONA,11.062,5.9,6.4,5.9,7.2,6.6,5.7,5.4,2.8,4.5,5.9,5.63,1.23,8.0,2.0,10.0,5.85,4.35,5.85,6.25,5.922,70.5,60.0,0.851,5.04,1.0,99.0
INST.FLIX,10.986,5.65,4.3,5.3,5.4,2.9,5.3,7.45,4.35,5.7,5.55,5.19,1.355,6.5,3.5,10.0,5.675,4.825,5.55,4.225,5.986,81.0,60.0,0.75,4.505,1.0,108.5
INST.MONTJUÏC,12.128,4.0,6.0,5.0,8.0,6.5,6.4,4.3,5.6,7.9,5.0,5.87,1.37,8.0,2.0,10.0,5.175,5.3,7.95,5.75,6.507,72.0,60.0,0.833,5.423,1.0,63.0
INST.MANOLO HUGUÉ,11.008,5.0,6.3,5.6,6.6,5.7,6.2,6.1,5.4,7.5,6.2,6.06,0.7,10.0,0.0,10.0,5.9,5.5,7.05,5.95,6.028,60.0,60.0,1.0,6.028,1.0,34.0
INST.CELESTÍ BELLERA,11.76,4.3,5.0,6.0,6.1,7.1,5.0,6.6,6.2,8.0,7.1,6.14,1.13,9.0,1.0,10.0,5.225,6.1,7.05,7.1,6.298,66.0,60.0,0.909,5.725,1.0,49.0
INST.PAU CASALS,10.738,3.4,7.5,6.45,6.6,3.95,6.45,5.75,4.8,6.0,6.1,5.7,1.68,8.0,2.0,10.0,5.775,5.625,6.3,5.025,6.498,79.5,60.0,0.803,5.326,1.0,83.0
CLARET-BARCELONA,11.581,5.2,5.033,6.133,6.4,6.367,5.0,4.3,5.633,5.567,7.433,5.707,1.377,6.667,3.333,10.0,4.883,5.883,5.983,6.9,6.456,81.5,60.0,0.767,5.055,1.0,96.0
MARISTES CHAMPAGNAT,9.736,4.267,5.067,4.8,5.967,4.4,4.733,4.233,4.7,6.167,3.767,4.81,1.763,5.667,4.333,10.0,4.575,4.75,6.067,4.083,5.975,86.5,53.5,0.657,4.025,1.0,108.667
SHALOM,10.544,6.325,6.325,5.975,5.825,3.15,4.575,5.8,5.525,4.475,4.85,5.282,1.33,8.5,1.5,10.0,5.756,5.75,5.15,4.0,5.828,69.0,60.0,0.875,5.118,1.0,79.75
INST.PAU VILA,12.571,7.25,7.1,6.75,8.75,8.3,6.0,6.6,7.0,6.85,5.85,7.045,1.16,8.5,1.5,10.0,6.738,6.875,7.8,7.075,7.485,69.0,60.0,0.885,6.803,1.0,51.0
ESCOLA PIA DE VILANOVA I LA G.,11.561,5.8,6.167,6.133,6.467,8.0,5.9,5.9,5.667,6.3,7.533,6.387,0.997,10.0,0.0,10.0,5.942,5.9,6.383,7.767,6.417,60.0,60.0,1.0,6.417,1.0,29.333
"MONTAGUT, ESCOLA",10.262,3.7,3.3,3.933,4.267,4.567,5.15,5.2,1.467,3.7,4.85,3.907,1.927,4.0,4.333,8.333,3.764,2.7,4.2,5.167,4.196,74.0,38.0,0.508,2.256,1.0,160.333
INST.VALL D'ARUS,10.402,5.2,4.65,3.4,6.5,6.8,3.6,5.6,2.1,4.75,6.05,4.865,1.705,5.5,4.5,10.0,4.762,2.75,5.625,6.425,5.989,86.25,60.0,0.697,4.176,1.0,126.5
IMMACULADA CONCEPCIó-LLORET,10.443,4.1,3.1,3.8,4.667,2.867,3.367,3.333,3.967,3.833,4.133,3.717,1.26,3.333,6.667,10.0,3.475,3.883,4.25,3.5,4.713,86.0,42.0,0.442,2.392,1.0,170.333
INST.MARTÍ DOT,11.547,7.533,7.7,7.1,8.067,8.4,6.533,6.733,6.467,8.133,7.867,7.453,1.203,9.667,0.333,10.0,7.125,6.783,8.1,8.133,7.52,62.0,60.0,0.97,7.325,1.0,15.333
INST.FRANCESC RIBALTA,11.897,6.867,6.567,6.733,7.267,6.7,6.733,6.767,6.633,7.367,6.9,6.853,1.057,10.0,0.0,10.0,6.733,6.683,7.317,6.8,6.842,60.0,60.0,1.0,6.842,1.0,22.333
INST.CASTELLÓ D'EMPÚRIES,11.82,7.4,7.3,6.5,9.0,6.7,7.4,5.6,6.7,10.0,6.5,7.31,1.29,10.0,0.0,10.0,6.925,6.6,9.5,6.6,7.222,60.0,60.0,1.0,7.222,1.0,9.0
INST.CAN PUIG,10.556,5.8,1.2,6.6,6.6,5.7,4.7,3.8,3.3,5.9,6.1,4.97,1.74,6.0,4.0,10.0,3.875,4.95,6.25,5.9,5.925,90.0,60.0,0.667,3.95,1.0,133.0
INST.SANT JUST DESVERN,10.222,5.6,5.267,3.933,3.833,5.633,4.767,4.867,4.0,6.067,6.9,5.087,1.373,6.333,3.667,10.0,5.125,3.967,4.95,6.267,6.094,86.0,60.0,0.747,4.695,1.0,98.0
INST.PONTS,10.675,3.8,4.0,3.75,3.65,3.3,5.3,3.95,2.35,3.1,3.1,3.63,1.435,3.5,6.5,10.0,4.262,3.05,3.375,3.2,4.362,105.0,39.0,0.452,2.338,1.0,146.5
"MONTSENY, CENTRE D'ESTUDIS",11.489,6.45,5.5,5.1,5.7,5.7,3.1,5.05,3.65,4.85,4.05,4.915,1.825,6.0,4.0,10.0,5.025,4.375,5.275,4.875,5.005,63.0,36.0,0.574,2.895,1.0,133.5
ATENEU INSTRUCTIU,10.698,4.95,3.2,4.4,6.25,4.25,4.85,5.3,4.65,5.05,6.0,4.89,1.49,5.0,5.0,10.0,4.575,4.525,5.65,5.125,6.328,90.0,60.0,0.718,4.646,1.0,95.0
JARDÍ,10.47,7.5,7.1,6.3,4.3,0.1,5.0,8.2,6.6,3.8,3.2,5.21,2.45,6.0,4.0,10.0,6.95,6.45,4.05,1.65,6.38,90.0,60.0,0.667,4.253,1.0,122.0
INST.GUISSONA,10.996,3.2,3.5,3.8,5.5,0.4,3.6,3.7,5.0,5.2,0.9,3.48,1.69,3.0,7.0,10.0,3.5,4.4,5.35,0.65,5.855,109.5,60.0,0.548,3.208,1.0,157.0
INST.SALVADOR DALI,11.013,4.867,4.067,4.433,4.033,5.733,3.167,3.6,3.6,5.45,4.5,4.233,1.3,4.667,5.0,9.667,3.925,4.017,4.033,5.117,5.022,78.0,46.0,0.609,3.498,1.0,123.333
INST.ARNAU CADELL,11.417,6.3,6.65,5.75,6.6,4.8,5.35,5.4,4.7,6.15,3.85,5.555,1.325,8.5,1.5,10.0,5.925,5.225,6.375,4.325,6.028,72.75,60.0,0.851,5.206,1.0,79.5
INST.RAMON TURRO I DARDER,11.725,6.35,6.9,4.25,5.3,6.2,6.1,6.3,6.55,7.95,7.1,6.3,1.13,8.5,1.5,10.0,6.412,5.4,6.625,6.65,6.724,69.0,60.0,0.885,6.014,1.0,63.5
INST.MONTGRÍ,10.605,5.45,5.9,4.8,3.55,3.05,5.05,4.6,4.25,5.2,3.8,4.565,1.105,5.0,5.0,10.0,5.25,4.525,4.375,3.425,5.443,99.0,48.75,0.596,3.389,1.0,113.5
VIRGEN DE LA SALUD,10.218,5.15,4.0,4.175,3.5,4.725,3.833,3.833,2.967,4.933,6.233,4.065,1.402,5.0,3.75,8.75,4.025,3.638,3.713,4.925,3.992,55.5,33.375,0.514,2.93,1.0,124.75
INST.MANUEL DE MONTSUAR,11.932,6.0,4.45,3.65,4.8,2.0,2.6,5.0,6.5,5.0,5.5,3.96,1.85,4.0,3.5,7.5,4.637,4.225,3.925,2.375,3.552,48.0,27.0,0.464,2.246,1.0,132.0
MONLAU,11.502,7.2,8.2,5.2,7.3,6.4,5.1,2.7,3.9,6.7,5.0,5.77,1.69,8.0,2.0,10.0,5.8,4.55,7.0,5.7,6.407,72.0,60.0,0.833,5.34,1.0,67.0
INST.CAN MAS,11.726,5.0,2.9,1.0,4.1,5.3,4.4,5.8,5.5,0.7,5.3,4.0,1.86,5.0,5.0,10.0,4.525,3.25,2.4,5.3,5.53,94.5,60.0,0.635,3.511,1.0,165.0
GRAVI,10.809,6.267,4.633,4.967,5.167,6.267,5.367,5.3,4.7,5.7,5.2,5.327,1.107,6.667,2.667,9.333,5.392,4.833,5.067,5.95,5.525,69.5,54.0,0.793,4.455,1.0,94.0
INST.JOAN BROSSA,11.459,4.6,6.0,5.35,4.55,4.25,4.55,5.3,5.25,4.75,5.55,5.015,1.665,7.5,2.5,10.0,5.112,5.3,4.65,4.9,6.08,74.25,60.0,0.81,4.918,1.0,88.5
INST.SALVADOR ESPRIU-BARCELONA,11.05,5.0,5.0,6.3,5.1,5.2,5.7,5.0,5.0,7.2,5.8,5.53,0.74,10.0,0.0,10.0,5.175,5.65,6.15,5.5,5.495,60.0,60.0,1.0,5.495,1.0,61.0
INST.DOMENEC PERRAMON,11.168,3.0,3.3,3.7,3.9,5.0,3.2,2.9,3.0,6.1,2.6,3.67,1.09,2.0,8.0,10.0,3.1,3.35,5.0,3.8,5.558,121.5,48.0,0.395,2.196,1.0,188.0
INST.MANUEL BLANCAFORT,11.071,3.5,2.45,3.3,5.1,1.85,4.4,2.6,3.25,3.75,5.0,3.52,1.265,2.5,7.5,10.0,3.238,3.275,4.425,3.425,5.912,125.25,60.0,0.51,3.018,1.0,154.0
INST.EUGENI XAMMAR,11.151,6.9,6.55,5.45,6.4,6.85,4.75,6.2,6.8,6.1,2.65,5.865,1.57,9.0,1.0,10.0,6.1,6.125,6.25,4.75,6.136,70.5,60.0,0.87,5.29,1.0,80.0
ARRELS II,11.273,5.35,5.3,6.3,4.45,7.65,5.25,3.8,5.25,5.25,3.4,5.2,1.36,6.5,3.5,10.0,4.925,5.775,4.85,5.525,5.614,75.0,53.25,0.726,4.136,1.0,110.5
INST.LA SERRETA,11.554,4.2,1.8,5.0,3.2,2.4,6.4,5.9,6.4,5.4,5.0,4.57,1.63,6.0,4.0,10.0,4.575,5.7,4.3,3.7,5.86,84.0,60.0,0.714,4.186,1.0,134.0
INST.SA PALOMERA,11.174,5.75,3.9,5.35,6.4,5.9,3.6,4.55,4.0,4.9,4.3,4.865,1.455,5.5,4.5,10.0,4.45,4.675,5.65,5.1,5.13,66.0,39.0,0.566,3.146,1.0,127.5
INST.POETA MARAGALL,10.664,5.2,4.85,4.25,4.8,4.7,5.0,5.0,5.0,7.9,6.6,4.92,0.87,5.5,2.5,8.0,4.962,4.0,5.4,5.025,4.324,60.0,39.0,0.65,3.302,1.0,115.0
INST.JOAN RAMON BENAPRÈS,10.932,4.0,4.0,4.3,5.0,7.7,4.9,3.3,1.9,5.9,5.7,4.67,1.58,4.0,6.0,10.0,4.05,3.1,5.45,6.7,6.095,96.0,60.0,0.625,3.809,1.0,150.0
INST.PLA DE L'ESTANY,11.264,7.7,5.0,5.7,7.0,9.3,6.9,5.0,5.8,6.3,5.8,6.45,1.33,10.0,0.0,10.0,6.15,5.75,6.65,7.55,6.438,60.0,60.0,1.0,6.438,1.0,23.0
INST.M JUAN MANUEL ZAFRA,10.472,3.833,3.1,3.2,3.633,2.6,5.6,5.05,4.9,5.8,6.9,3.607,1.363,4.0,4.333,8.333,3.508,3.517,3.75,3.75,3.935,58.0,32.0,0.438,2.551,1.0,132.667
MATER SALVATORIS,12.033,7.65,7.35,5.85,7.75,6.55,5.55,5.95,7.25,6.15,5.2,6.525,1.085,9.0,1.0,10.0,6.625,6.55,6.95,5.875,6.502,60.0,53.25,0.888,5.804,1.0,33.5
INST.MONTSERRAT COLOMER,11.482,4.5,6.4,4.3,5.55,4.5,3.5,6.05,5.85,5.9,6.35,5.29,1.845,7.5,2.5,10.0,5.112,5.075,5.725,5.425,6.246,75.0,60.0,0.812,5.074,1.0,81.5
INST.OLORDA,11.112,4.45,5.25,6.2,6.05,6.3,5.35,3.6,3.8,6.0,7.0,5.4,1.51,7.5,2.5,10.0,4.662,5.0,6.025,6.65,6.02,75.0,60.0,0.812,4.904,1.0,91.0
SAGRADA FAMÍLIA-HORTA,10.283,4.6,5.6,4.7,4.8,5.6,6.5,2.6,3.7,4.6,4.85,4.615,1.705,5.0,4.5,9.5,4.554,4.2,4.7,5.225,5.031,72.0,42.0,0.566,3.142,1.0,128.0
"ROCA, C.E.",11.64,6.2,6.3,6.45,6.75,7.2,5.25,5.3,5.45,6.35,5.4,6.065,0.955,9.0,1.0,10.0,5.762,5.95,6.55,6.3,6.272,66.0,60.0,0.916,5.791,1.0,56.5
AMOR DE DIOS,10.338,5.0,4.65,5.35,4.75,7.9,5.2,4.2,3.8,5.75,5.2,5.18,1.48,7.0,3.0,10.0,4.762,4.575,5.25,6.55,6.188,78.75,60.0,0.762,4.716,1.0,100.0
INST.ARAN,9.166,5.9,4.8,4.45,3.6,3.1,2.15,5.5,3.35,5.0,5.2,4.105,1.4,3.5,5.0,8.5,4.425,3.9,3.925,3.4,4.258,69.0,39.0,0.527,2.393,1.0,168.0
STUCOM,11.65,5.85,6.2,7.5,7.3,6.95,5.5,6.1,5.9,7.4,5.9,6.46,1.33,9.0,1.0,10.0,5.912,6.7,7.35,6.425,6.547,66.0,60.0,0.916,6.034,1.0,44.5
INST.ISAAC ALBENIZ,10.868,5.0,3.4,3.3,6.5,5.0,3.7,2.5,7.3,5.0,3.4,4.51,1.53,5.0,5.0,10.0,3.65,5.3,5.75,4.2,5.75,91.5,60.0,0.656,3.77,1.0,153.0
INST.BISBE BERENGUER,11.322,6.1,5.1,3.6,4.1,5.0,4.0,5.2,2.4,6.6,6.6,4.87,1.36,6.0,4.0,10.0,5.1,3.0,5.35,5.8,6.12,84.0,60.0,0.714,4.371,1.0,121.0
INST.LA MALLOLA,10.542,6.6,6.0,5.7,5.4,7.2,4.6,5.0,3.2,6.3,3.6,5.36,1.28,7.0,3.0,10.0,5.55,4.45,5.85,5.4,6.39,79.5,60.0,0.755,4.823,1.0,94.0
INST.JOAN MIRO-CORNELLA,10.485,5.167,3.933,3.833,6.933,2.633,4.867,5.45,5.55,5.8,5.95,4.907,1.49,5.667,3.333,9.0,4.761,4.4,6.367,3.65,5.454,73.5,51.5,0.691,3.828,1.0,119.0
INST.LES VINYES,10.562,0.0,3.1,2.8,5.0,1.8,0.0,1.7,1.3,3.1,0.3,1.91,1.62,1.0,9.0,10.0,1.2,2.05,4.05,1.05,4.042,112.5,28.5,0.253,1.024,1.0,193.0
INST.RIBERA DEL SIÓ,12.003,5.65,5.2,5.75,4.85,6.2,4.8,4.15,4.15,5.8,6.7,5.325,1.145,7.5,2.5,10.0,4.95,4.95,5.325,6.45,5.987,75.0,60.0,0.801,4.795,1.0,104.5
INST.JAUME ALMERA,11.076,6.7,5.9,5.1,5.6,4.1,4.6,5.5,8.3,5.4,5.3,5.65,1.16,8.0,2.0,10.0,5.675,6.7,5.5,4.7,6.178,72.0,60.0,0.833,5.148,1.0,77.0
DOLMEN,11.318,5.6,6.2,6.1,5.1,6.2,6.1,6.2,7.9,6.9,6.2,6.25,0.74,10.0,0.0,10.0,6.025,7.0,6.0,6.2,6.232,60.0,60.0,1.0,6.232,1.0,41.0
INST.MANUEL DE PEDROLO,11.572,6.075,6.025,4.05,6.775,5.15,5.133,5.733,4.567,5.267,3.933,5.045,1.788,6.75,2.0,8.75,5.687,3.738,6.062,4.05,4.776,57.375,45.0,0.764,3.841,1.0,109.25
LA MERCE - MARTORELL,12.203,5.95,6.0,5.25,6.25,7.05,2.9,2.55,4.55,4.45,2.95,4.79,1.815,7.5,2.5,10.0,4.35,4.9,5.35,5.0,4.752,60.0,45.0,0.75,3.814,1.0,105.0
JOSEP TOUS,11.0,4.9,5.5,4.75,5.8,6.65,5.25,4.75,4.7,6.35,6.0,5.465,1.27,7.0,3.0,10.0,5.1,4.725,6.075,6.325,6.446,78.0,60.0,0.788,5.114,1.0,89.0
GEM,10.475,4.7,4.533,5.467,6.5,4.7,6.133,3.267,4.7,5.4,3.8,4.92,1.463,5.667,4.333,10.0,4.658,5.083,5.95,4.25,5.674,82.0,43.5,0.621,4.003,1.0,99.667
GARBI PERE VERGES-BADALONA,11.269,6.4,5.25,4.275,4.75,6.45,3.5,3.0,4.4,4.55,4.425,4.7,1.565,6.0,4.0,10.0,4.538,4.338,4.65,5.438,5.027,67.5,43.5,0.631,3.559,1.0,113.5
SANT MARC - SARRIÀ,11.37,8.0,8.15,7.4,7.65,7.7,4.35,4.6,7.4,4.05,8.0,6.73,1.865,8.5,1.5,10.0,6.275,7.4,5.85,7.85,7.546,79.5,60.0,0.803,6.264,1.0,71.5
LA SALLE GRÀCIA,10.064,5.8,6.35,6.5,6.6,6.85,5.8,6.0,5.65,6.2,6.3,6.205,1.095,8.0,2.0,10.0,5.988,6.075,6.4,6.575,6.485,74.25,60.0,0.839,5.524,1.0,75.0
INST.VIC,11.437,5.4,5.5,5.5,6.367,5.267,5.367,5.467,5.667,6.633,6.167,5.733,1.1,7.667,2.333,10.0,5.433,5.583,6.5,5.717,6.155,78.0,60.0,0.822,5.099,1.0,85.0
NATZARET,11.88,6.6,7.6,6.8,5.7,1.2,6.8,7.2,6.4,5.9,5.4,5.96,1.8,9.0,1.0,10.0,7.05,6.6,5.8,3.3,6.328,66.0,60.0,0.909,5.752,1.0,69.0
INST.LLUIS DE REQUESENS,10.481,5.0,3.65,4.7,5.35,6.85,4.85,3.35,4.4,4.0,5.75,4.79,1.35,6.0,4.0,10.0,4.212,4.55,4.675,6.3,5.943,90.0,60.0,0.75,4.501,1.0,113.5
ESCOLA PIA DE TERRASSA,10.096,6.7,7.0,5.0,5.1,2.0,6.0,6.8,8.6,8.1,5.1,6.04,1.88,9.0,1.0,10.0,6.625,6.8,6.6,3.55,6.495,66.0,60.0,0.909,5.905,1.0,60.0
INST.PIUS FONT I QUER,10.755,5.733,5.4,5.133,5.767,6.133,4.8,4.1,4.8,4.767,3.1,4.973,1.71,6.0,4.0,10.0,5.008,4.967,5.267,4.617,6.157,84.5,54.5,0.712,4.624,1.0,103.0
INST.CRISTOFOL FERRER,10.522,5.7,6.0,5.2,5.1,4.2,7.3,5.0,3.7,5.5,6.7,5.44,1.07,8.0,2.0,10.0,6.0,4.45,5.3,5.45,6.19,72.0,60.0,0.833,5.158,1.0,95.0
INST.BALDIRI GUILERA,10.52,5.65,5.4,5.5,3.5,5.9,5.4,5.05,4.4,6.35,6.65,5.38,1.44,7.0,3.0,10.0,5.375,4.95,4.925,6.275,5.698,69.0,51.0,0.734,4.202,1.0,105.0
INST.EUGENI D'ORS - VILAFRANCA,10.133,4.833,5.2,4.567,5.9,6.433,5.133,3.2,3.467,5.2,6.267,5.02,1.38,7.333,2.667,10.0,4.592,4.017,5.55,6.35,5.976,80.0,60.0,0.78,4.677,1.0,96.667
SANT JAUME DE LA FEP,10.228,6.3,6.5,9.0,5.6,8.2,6.0,6.5,5.0,5.7,7.1,6.59,1.22,10.0,0.0,10.0,6.325,7.0,5.65,7.65,6.625,60.0,60.0,1.0,6.625,1.0,22.0
INST.DAMIA CAMPENY,10.693,5.433,5.1,4.7,4.533,5.533,5.033,4.4,4.5,6.367,6.267,5.187,1.473,6.333,3.667,10.0,4.992,4.6,5.45,5.9,6.167,82.0,60.0,0.767,4.838,1.0,94.0
INST.TOSSA DE MAR,11.116,5.0,5.6,5.0,6.3,5.0,5.6,5.1,5.0,6.2,6.0,5.48,0.53,10.0,0.0,10.0,5.325,5.0,6.25,5.5,5.475,60.0,60.0,1.0,5.475,1.0,81.0
INST.ESCOLA DEL TREBALL-BCN,9.721,5.5,5.167,5.667,5.667,7.967,4.9,4.7,5.167,5.7,5.1,5.577,1.017,8.667,1.0,9.667,5.131,5.417,5.683,6.533,5.583,64.5,58.0,0.918,5.106,1.0,81.0
INST.GABRIELA MISTRAL,10.352,6.0,5.1,3.3,5.0,3.6,5.3,5.55,4.3,5.6,4.45,4.82,1.325,7.0,3.0,10.0,5.488,3.8,5.3,4.025,5.554,72.75,54.0,0.751,4.15,1.0,101.0
CORAZON INMACULADO DE MARIA,10.532,1.0,4.85,2.85,2.7,2.0,5.4,6.9,3.1,6.8,3.5,3.175,1.975,2.0,5.5,7.5,3.588,2.625,3.3,2.775,3.819,63.75,30.0,0.308,2.011,1.0,154.5
INST.LES TERMES,10.548,5.1,5.7,2.6,4.1,0.0,7.0,6.5,5.5,7.7,5.6,4.98,2.27,7.0,3.0,10.0,6.075,4.05,5.9,2.8,6.117,78.0,60.0,0.769,4.706,1.0,121.0
INST.VILATZARA,13.082,9.0,8.2,8.1,8.0,8.5,7.3,5.3,8.3,7.7,5.8,7.62,1.19,10.0,0.0,10.0,7.45,8.2,7.85,7.15,7.572,60.0,60.0,1.0,7.572,1.0,3.0
INST.LLUIS DE PEGUERA,10.796,5.1,4.6,5.0,5.0,1.1,3.4,5.0,5.0,5.0,6.7,4.59,1.46,7.0,3.0,10.0,4.525,5.0,5.0,3.9,5.592,78.0,60.0,0.769,4.302,1.0,126.0
INST.APEL·LES MESTRES,6.616,9.0,7.0,7.0,6.0,6.0,5.3,9.4,6.1,6.3,5.0,6.71,1.46,10.0,0.0,10.0,7.675,6.55,6.15,5.5,6.677,60.0,60.0,1.0,6.677,1.0,24.0
